Designator,Mid X,Mid Y,Rotation,Layer
C1,135.35,-122.15,90.0,top
C2,140.75,-133.5,270.0,top
J1,148.76,-105.4,0.0,bottom
J2,142.16,-144.75,270.0,bottom
J3,148.76,-121.89,0.0,bottom
J4,135.66,-105.4,0.0,bottom
J5,142.19,-84.0,90.0,bottom
U1,141.51,-121.875,0.0,top
U2,146.275,-133.85,0.0,top
U3,142.2,-130.6,0.0,top
